template_language,tool,smell_type,precision,recall,tp,fp,fn,predicted,ground_truth
bicep,checkov,unused_parameters,NA,NA,0,0,16,0,16
terraform,checkov,always_false_conditions,NA,NA,0,0,6,0,6
terraform,checkov,always_true_conditions,NA,NA,0,0,13,0,13
terraform,checkov,cascading_provisioning_failures,NA,NA,0,0,2,0,2
terraform,checkov,circular_dependencies,NA,NA,0,0,2,0,2
terraform,checkov,dead_resources,NA,NA,0,0,1,0,1
terraform,checkov,hard_coded_secrets,NA,NA,0,0,3,0,3
terraform,checkov,no_sourced_conditions,NA,NA,0,0,1,0,1
terraform,checkov,no_sourced_outputs,NA,NA,0,0,3,0,3
terraform,checkov,unprotected_secrets,NA,NA,0,0,16,0,16
terraform,checkov,unrestricted_ip_addresses,1.0,0.5333333333333333,8,0,7,8,15
terraform,checkov,unused_parameters,NA,NA,0,0,46,0,46
terraform,terraform-validate,always_false_conditions,NA,NA,0,0,6,0,6
terraform,terraform-validate,always_true_conditions,NA,NA,0,0,13,0,13
terraform,terraform-validate,cascading_provisioning_failures,NA,NA,0,0,2,0,2
terraform,terraform-validate,circular_dependencies,1.0,1.0,2,0,0,2,2
terraform,terraform-validate,dead_resources,NA,NA,0,0,1,0,1
terraform,terraform-validate,hard_coded_secrets,NA,NA,0,0,3,0,3
terraform,terraform-validate,no_sourced_conditions,NA,NA,0,0,1,0,1
terraform,terraform-validate,no_sourced_outputs,NA,NA,0,0,3,0,3
terraform,terraform-validate,unprotected_secrets,NA,NA,0,0,16,0,16
terraform,terraform-validate,unrestricted_ip_addresses,NA,NA,0,0,15,0,15
terraform,terraform-validate,unused_parameters,NA,NA,0,0,46,0,46
terraform,tflint,always_false_conditions,NA,NA,0,0,6,0,6
terraform,tflint,always_true_conditions,NA,NA,0,0,13,0,13
terraform,tflint,cascading_provisioning_failures,NA,NA,0,0,2,0,2
terraform,tflint,circular_dependencies,NA,NA,0,0,2,0,2
terraform,tflint,dead_resources,NA,NA,0,0,1,0,1
terraform,tflint,hard_coded_secrets,NA,NA,0,0,3,0,3
terraform,tflint,no_sourced_conditions,NA,NA,0,0,1,0,1
terraform,tflint,no_sourced_outputs,NA,NA,0,0,3,0,3
terraform,tflint,unprotected_secrets,NA,NA,0,0,16,0,16
terraform,tflint,unrestricted_ip_addresses,NA,NA,0,0,15,0,15
terraform,tflint,unused_parameters,0.9545454545454546,0.45652173913043476,21,1,25,22,46
terraform,trivy,always_false_conditions,NA,NA,0,0,6,0,6
terraform,trivy,always_true_conditions,NA,NA,0,0,13,0,13
terraform,trivy,cascading_provisioning_failures,NA,NA,0,0,2,0,2
terraform,trivy,circular_dependencies,NA,NA,0,0,2,0,2
terraform,trivy,dead_resources,NA,NA,0,0,1,0,1
terraform,trivy,hard_coded_secrets,NA,NA,0,0,3,0,3
terraform,trivy,no_sourced_conditions,NA,NA,0,0,1,0,1
terraform,trivy,no_sourced_outputs,NA,NA,0,0,3,0,3
terraform,trivy,unprotected_secrets,NA,NA,0,0,16,0,16
terraform,trivy,unrestricted_ip_addresses,1.0,0.06666666666666667,1,0,14,1,15
terraform,trivy,unused_parameters,NA,NA,0,0,46,0,46
cfn,cfn-lint,always_false_conditions,1.0,0.75,3,0,1,3,4
cfn,cfn-lint,always_true_conditions,1.0,0.5,2,0,2,2,4
cfn,cfn-lint,cascading_provisioning_failures,1.0,0.6666666666666666,8,0,4,8,12
cfn,cfn-lint,circular_dependencies,1.0,0.6666666666666666,4,0,2,4,6
cfn,cfn-lint,dead_resources,NA,NA,0,0,7,0,7
cfn,cfn-lint,hard_coded_secrets,1.0,0.16666666666666666,2,0,10,2,12
cfn,cfn-lint,no_sourced_conditions,NA,NA,0,0,6,0,6
cfn,cfn-lint,no_sourced_outputs,NA,NA,0,0,4,0,4
cfn,cfn-lint,unprotected_secrets,NA,NA,0,0,9,0,9
cfn,cfn-lint,unrestricted_ip_addresses,NA,NA,0,0,10,0,10
cfn,cfn-lint,unused_conditions,1.0,1.0,3,0,0,3,3
cfn,cfn-lint,unused_parameters,1.0,0.9545454545454546,21,0,1,21,22
cfn,checkov,always_false_conditions,NA,NA,0,0,4,0,4
cfn,checkov,always_true_conditions,NA,NA,0,0,4,0,4
cfn,checkov,cascading_provisioning_failures,NA,NA,0,0,12,0,12
cfn,checkov,circular_dependencies,NA,NA,0,0,6,0,6
cfn,checkov,dead_resources,NA,NA,0,0,7,0,7
cfn,checkov,hard_coded_secrets,NA,NA,0,0,12,0,12
cfn,checkov,no_sourced_conditions,NA,NA,0,0,6,0,6
cfn,checkov,no_sourced_outputs,NA,NA,0,0,4,0,4
cfn,checkov,unprotected_secrets,NA,NA,0,0,9,0,9
cfn,checkov,unrestricted_ip_addresses,0.6666666666666666,0.4,4,2,6,6,10
cfn,checkov,unused_conditions,NA,NA,0,0,3,0,3
cfn,checkov,unused_parameters,NA,NA,0,0,22,0,22
cfn,trivy,always_false_conditions,NA,NA,0,0,4,0,4
cfn,trivy,always_true_conditions,NA,NA,0,0,4,0,4
cfn,trivy,cascading_provisioning_failures,NA,NA,0,0,12,0,12
cfn,trivy,circular_dependencies,NA,NA,0,0,6,0,6
cfn,trivy,dead_resources,NA,NA,0,0,7,0,7
cfn,trivy,hard_coded_secrets,NA,NA,0,0,12,0,12
cfn,trivy,no_sourced_conditions,NA,NA,0,0,6,0,6
cfn,trivy,no_sourced_outputs,NA,NA,0,0,4,0,4
cfn,trivy,unprotected_secrets,NA,NA,0,0,9,0,9
cfn,trivy,unrestricted_ip_addresses,1.0,0.4,4,0,6,4,10
cfn,trivy,unused_conditions,NA,NA,0,0,3,0,3
cfn,trivy,unused_parameters,NA,NA,0,0,22,0,22
